ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
chr7|-|91746357|91746526|91746357|91746406|91747833|91747929	"ENSG00000001630.15_3"	"CYP51A1"	chr7	-	91746357	91746526	91746357	91746406	91747833	91747929
chr7|-|91864716|91865856|91864716|91864960|91866980|91867073	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91864716	91865856	91864716	91864960	91866980	91867073
chr7|-|91871347|91871475|91871347|91871451|91873315|91873463	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91871347	91871475	91871347	91871451	91873315	91873463
chr7|-|91871347|91871475|91871347|91871451|91874215|91874485	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91871347	91871475	91871347	91871451	91874215	91874485
chr7|-|91871347|91871475|91871347|91871451|91874740|91875229	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91871347	91871475	91871347	91871451	91874740	91875229
chr7|-|91871347|91871475|91871347|91871451|91875103|91875237	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91871347	91871475	91871347	91871451	91875103	91875237
chr7|-|91871347|91871475|91871347|91871451|91875219|91875480	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91871347	91871475	91871347	91871451	91875219	91875480
chr7|-|91874215|91874485|91874215|91874448|91875103|91875237	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91874215	91874485	91874215	91874448	91875103	91875237
chr7|-|91874215|91874485|91874215|91874448|91875135|91875226	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91874215	91874485	91874215	91874448	91875135	91875226
chr12|-|1025509|1025698|1025509|1025649|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1025509	1025698	1025509	1025649	1025804	1025986
chr12|-|1025509|1025701|1025509|1025649|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1025509	1025701	1025509	1025649	1025804	1025986
chr12|-|1025509|1025701|1025509|1025698|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1025509	1025701	1025509	1025698	1025804	1025986
chr12|-|1035961|1036429|1035961|1036112|1038929|1039052	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1035961	1036429	1035961	1036112	1038929	1039052
chr12|-|1035961|1036429|1035961|1036112|1039216|1039310	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1035961	1036429	1035961	1036112	1039216	1039310
chr12|-|1038929|1039310|1038929|1039052|1040385|1040487	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039310	1038929	1039052	1040385	1040487
chrX|+|2656240|2656297|2656243|2656297|2644300|2644414	"ENSG00000002586.18_3"	"CD99"	chrX	+	2656240	2656297	2656243	2656297	2644300	2644414
chrX|+|2656240|2656297|2656243|2656297|2651397|2651415	"ENSG00000002586.18_3"	"CD99"	chrX	+	2656240	2656297	2656243	2656297	2651397	2651415
chr7|+|150557531|150557721|150557588|150557721|150555850|150556136	"ENSG00000002726.20_3"	"AOC1"	chr7	+	150557531	150557721	150557588	150557721	150555850	150556136
chr7|+|150557531|150557721|150557588|150557721|150556896|150557035	"ENSG00000002726.20_3"	"AOC1"	chr7	+	150557531	150557721	150557588	150557721	150556896	150557035
chr12|-|9092958|9094536|9092958|9093465|9095011|9095138	"ENSG00000003056.3"	"M6PR"	chr12	-	9092958	9094536	9092958	9093465	9095011	9095138
chr12|-|9092958|9094536|9092958|9093465|9098013|9098180	"ENSG00000003056.3"	"M6PR"	chr12	-	9092958	9094536	9092958	9093465	9098013	9098180
chr12|-|9096000|9096180|9096000|9096131|9096396|9096506	"ENSG00000003056.3"	"M6PR"	chr12	-	9096000	9096180	9096000	9096131	9096396	9096506
chr12|-|9096000|9096180|9096000|9096131|9098013|9098180	"ENSG00000003056.3"	"M6PR"	chr12	-	9096000	9096180	9096000	9096131	9098013	9098180
chr12|-|9098824|9099001|9098824|9098983|9099311|9099420	"ENSG00000003056.3"	"M6PR"	chr12	-	9098824	9099001	9098824	9098983	9099311	9099420
chr7|-|8272219|8272382|8272219|8272363|8275539|8275635	"ENSG00000003147.17_2"	"ICA1"	chr7	-	8272219	8272382	8272219	8272363	8275539	8275635
chr7|-|8272219|8272385|8272219|8272363|8275539|8275635	"ENSG00000003147.17_2"	"ICA1"	chr7	-	8272219	8272385	8272219	8272363	8275539	8275635
chr7|-|8272219|8272385|8272219|8272363|8301723|8301911	"ENSG00000003147.17_2"	"ICA1"	chr7	-	8272219	8272385	8272219	8272363	8301723	8301911
chr7|-|8272219|8272385|8272219|8272382|8275539|8275635	"ENSG00000003147.17_2"	"ICA1"	chr7	-	8272219	8272385	8272219	8272382	8275539	8275635
chr7|-|8275539|8275635|8275539|8275570|8301723|8301911	"ENSG00000003147.17_2"	"ICA1"	chr7	-	8275539	8275635	8275539	8275570	8301723	8301911
chr2|+|201997751|201997857|201997752|201997857|201994699|201994869	"ENSG00000003402.19_3"	"CFLAR"	chr2	+	201997751	201997857	201997752	201997857	201994699	201994869
chr2|+|202013724|202013775|202013725|202013775|202005079|202005162	"ENSG00000003402.19_3"	"CFLAR"	chr2	+	202013724	202013775	202013725	202013775	202005079	202005162
chr2|-|188348850|188349714|188348850|188348943|188353063|188353102	"ENSG00000003436.15_2"	"TFPI"	chr2	-	188348850	188349714	188348850	188348943	188353063	188353102
chr2|+|37468720|37469836|37469777|37469836|37459248|37459409	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37469836	37469777	37469836	37459248	37459409
chr2|+|37471005|37471116|37471053|37471116|37464899|37464978	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37471005	37471116	37471053	37471116	37464899	37464978
chr2|+|37471005|37471116|37471053|37471116|37468720|37468780	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37471005	37471116	37471053	37471116	37468720	37468780
chr2|+|37471005|37471116|37471053|37471116|37468720|37468934	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37471005	37471116	37471053	37471116	37468720	37468934
chr3|+|50137964|50140599|50140515|50140599|50131152|50131308	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50137964	50140599	50140515	50140599	50131152	50131308
chr3|+|50137964|50140599|50140515|50140599|50137414|50137484	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50137964	50140599	50140515	50140599	50137414	50137484
chr3|+|50154506|50154812|50154682|50154812|50153338|50153413	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50154506	50154812	50154682	50154812	50153338	50153413
chr7|+|127229538|127230191|127230119|127230191|127229136|127229217	"ENSG00000004059.10_3"	"ARF5"	chr7	+	127229538	127230191	127230119	127230191	127229136	127229217
chr7|+|127231016|127231142|127231022|127231142|127229136|127229217	"ENSG00000004059.10_3"	"ARF5"	chr7	+	127231016	127231142	127231022	127231142	127229136	127229217
chr7|+|127231016|127231142|127231022|127231142|127230119|127230191	"ENSG00000004059.10_3"	"ARF5"	chr7	+	127231016	127231142	127231022	127231142	127230119	127230191
chr17|+|26712058|26712294|26712118|26712294|26711857|26711949	"ENSG00000004139.13_3"	"SARM1"	chr17	+	26712058	26712294	26712118	26712294	26711857	26711949
chr17|+|26715192|26715558|26715368|26715558|26712449|26712485	"ENSG00000004139.13_3"	"SARM1"	chr17	+	26715192	26715558	26715368	26715558	26712449	26712485
chr17|+|26715368|26715558|26715378|26715558|26715192|26715295	"ENSG00000004139.13_3"	"SARM1"	chr17	+	26715368	26715558	26715378	26715558	26715192	26715295
chr17|-|26681513|26681611|26681513|26681557|26682820|26682902	"ENSG00000004142.11_2"	"POLDIP2"	chr17	-	26681513	26681611	26681513	26681557	26682820	26682902
chr3|-|129274056|129275271|129274056|129274386|129275459|129275534	"ENSG00000004399.12_3"	"PLXND1"	chr3	-	129274056	129275271	129274056	129274386	129275459	129275534
chr3|-|129274056|129275271|129274056|129274386|129275925|129276066	"ENSG00000004399.12_3"	"PLXND1"	chr3	-	129274056	129275271	129274056	129274386	129275925	129276066
chr3|-|129304794|129304924|129304794|129304891|129305014|129305115	"ENSG00000004399.12_3"	"PLXND1"	chr3	-	129304794	129304924	129304794	129304891	129305014	129305115
chr3|-|129304794|129304924|129304794|129304891|129305430|129305562	"ENSG00000004399.12_3"	"PLXND1"	chr3	-	129304794	129304924	129304794	129304891	129305430	129305562
chr1|+|23399766|23399896|23399784|23399896|23385565|23385660	"ENSG00000004487.15_3"	"KDM1A"	chr1	+	23399766	23399896	23399784	23399896	23385565	23385660
chr1|+|23399766|23399896|23399784|23399896|23395553|23395644	"ENSG00000004487.15_3"	"KDM1A"	chr1	+	23399766	23399896	23399784	23399896	23395553	23395644
chr1|+|23399766|23399896|23399784|23399896|23397717|23397852	"ENSG00000004487.15_3"	"KDM1A"	chr1	+	23399766	23399896	23399784	23399896	23397717	23397852
chr1|+|23399766|23399896|23399784|23399896|23398616|23398690	"ENSG00000004487.15_3"	"KDM1A"	chr1	+	23399766	23399896	23399784	23399896	23398616	23398690
chr3|+|50004630|50006181|50004902|50006181|50000008|50000118	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50004630	50006181	50004902	50006181	50000008	50000118
chr3|+|50097064|50097179|50097081|50097179|50091767|50091828	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50097064	50097179	50097081	50097179	50091767	50091828
chr3|+|50097064|50097179|50097081|50097179|50095160|50095436	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50097064	50097179	50097081	50097179	50095160	50095436
chr3|+|50097064|50097179|50097081|50097179|50095834|50095995	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50097064	50097179	50097081	50097179	50095834	50095995
chr3|+|50098894|50099541|50099394|50099541|50095160|50095436	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50098894	50099541	50099394	50099541	50095160	50095436
chr3|+|50098894|50099541|50099394|50099541|50095834|50095995	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50098894	50099541	50099394	50099541	50095834	50095995
chr3|+|50098894|50099541|50099394|50099541|50097081|50097179	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50098894	50099541	50099394	50099541	50097081	50097179
chr3|+|50098894|50099541|50099394|50099541|50098388|50098431	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50098894	50099541	50099394	50099541	50098388	50098431
chr3|+|50098894|50099541|50099394|50099541|50098572|50098654	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50098894	50099541	50099394	50099541	50098572	50098654
chr3|+|50112605|50112763|50112633|50112763|50106122|50106197	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50112605	50112763	50112633	50112763	50106122	50106197
chr3|+|50112605|50112763|50112633|50112763|50107887|50107985	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50112605	50112763	50112633	50112763	50107887	50107985
chr17|-|3784920|3785858|3784920|3784942|3786335|3786469	"ENSG00000004660.14_2"	"CAMKK1"	chr17	-	3784920	3785858	3784920	3784942	3786335	3786469
chr17|-|3784920|3785858|3784920|3784942|3786722|3786774	"ENSG00000004660.14_2"	"CAMKK1"	chr17	-	3784920	3785858	3784920	3784942	3786722	3786774
chr12|-|21654103|21654306|21654103|21654149|21654396|21654603	"ENSG00000004700.15_3"	"RECQL"	chr12	-	21654103	21654306	21654103	21654149	21654396	21654603
chr7|+|92883172|92883244|92883175|92883244|92869178|92869247	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92883172	92883244	92883175	92883244	92869178	92869247
chr7|+|92883172|92883244|92883175|92883244|92869178|92869263	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92883172	92883244	92883175	92883244	92869178	92869263
chr7|+|92883172|92883244|92883175|92883244|92881965|92882088	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92883172	92883244	92883175	92883244	92881965	92882088
chr7|+|92979186|92979345|92979190|92979345|92970738|92970887	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92979186	92979345	92979190	92979345	92970738	92970887
chr7|+|92979186|92979345|92979190|92979345|92978022|92978119	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92979186	92979345	92979190	92979345	92978022	92978119
chr19|+|36277314|36277974|36277797|36277974|36275073|36275219	"ENSG00000004777.18_3"	"ARHGAP33"	chr19	+	36277314	36277974	36277797	36277974	36275073	36275219
chr19|+|36277314|36277974|36277797|36277974|36276310|36276385	"ENSG00000004777.18_3"	"ARHGAP33"	chr19	+	36277314	36277974	36277797	36277974	36276310	36276385
chr19|+|36278069|36279724|36278545|36279724|36277314|36277974	"ENSG00000004777.18_3"	"ARHGAP33"	chr19	+	36278069	36279724	36278545	36279724	36277314	36277974
chr6|-|110745889|110746585|110745889|110746288|110752373|110752473	"ENSG00000004809.13_3"	"SLC22A16"	chr6	-	110745889	110746585	110745889	110746288	110752373	110752473
chr6|-|110745889|110746585|110745889|110746288|110757054|110757164	"ENSG00000004809.13_3"	"SLC22A16"	chr6	-	110745889	110746585	110745889	110746288	110757054	110757164
chr3|-|50379827|50380086|50379827|50380000|50380348|50380449	"ENSG00000004838.13_2"	"ZMYND10"	chr3	-	50379827	50380086	50379827	50380000	50380348	50380449
chr3|-|50379827|50380086|50379827|50380000|50380548|50380637	"ENSG00000004838.13_2"	"ZMYND10"	chr3	-	50379827	50380086	50379827	50380000	50380548	50380637
chr3|-|50382554|50382667|50382554|50382663|50382965|50383152	"ENSG00000004838.13_2"	"ZMYND10"	chr3	-	50382554	50382667	50382554	50382663	50382965	50383152
chr7|-|95814238|95814326|95814238|95814323|95818605|95818690	"ENSG00000004864.13_2"	"SLC25A13"	chr7	-	95814238	95814326	95814238	95814323	95818605	95818690
chr7|-|95814238|95814326|95814238|95814323|95820420|95820559	"ENSG00000004864.13_2"	"SLC25A13"	chr7	-	95814238	95814326	95814238	95814323	95820420	95820559
chr7|-|95814238|95814326|95814238|95814323|95822348|95822495	"ENSG00000004864.13_2"	"SLC25A13"	chr7	-	95814238	95814326	95814238	95814323	95822348	95822495
chr17|-|45199809|45199966|45199809|45199902|45201251|45201326	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45199809	45199966	45199809	45199902	45201251	45201326
chr17|-|45199809|45199966|45199809|45199902|45206758|45206887	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45199809	45199966	45199809	45199902	45206758	45206887
chr17|-|45199809|45199966|45199809|45199902|45258927|45259003	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45199809	45199966	45199809	45199902	45258927	45259003
chr17|-|45199809|45199985|45199809|45199902|45206758|45206887	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45199809	45199985	45199809	45199902	45206758	45206887
chr17|-|45199809|45199985|45199809|45199966|45206758|45206887	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45199809	45199985	45199809	45199966	45206758	45206887
chr17|-|45219218|45219391|45219218|45219388|45219594|45219802	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45219218	45219391	45219218	45219388	45219594	45219802
chr17|-|45229171|45229302|45229171|45229284|45232037|45232152	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45229171	45229302	45229171	45229284	45232037	45232152
chr17|-|45229171|45229302|45229171|45229284|45234278|45234490	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45229171	45229302	45229171	45229284	45234278	45234490
chr17|-|45229171|45229302|45229171|45229284|45234595|45234750	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45229171	45229302	45229171	45229284	45234595	45234750
chr17|-|45232037|45232230|45232037|45232152|45234278|45234490	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45232037	45232230	45232037	45232152	45234278	45234490
chr17|-|45232037|45232230|45232037|45232152|45247282|45247408	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45232037	45232230	45232037	45232152	45247282	45247408
chr17|-|45234278|45234490|45234278|45234349|45234595|45234750	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45234278	45234490	45234278	45234349	45234595	45234750
chr17|-|45234278|45234490|45234278|45234349|45235571|45235669	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45234278	45234490	45234278	45234349	45235571	45235669
chr17|-|45234278|45234490|45234278|45234349|45247282|45247408	"ENSG00000004897.11_3"	"CDC27"	chr17	-	45234278	45234490	45234278	45234349	45247282	45247408
chr17|-|42332574|42332664|42332574|42332589|42333040|42333214	"ENSG00000004939.13_2"	"SLC4A1"	chr17	-	42332574	42332664	42332574	42332589	42333040	42333214
chr17|-|42332574|42332664|42332574|42332589|42334717|42334912	"ENSG00000004939.13_2"	"SLC4A1"	chr17	-	42332574	42332664	42332574	42332589	42334717	42334912
chr17|-|42340003|42340302|42340003|42340094|42345421|42345509	"ENSG00000004939.13_2"	"SLC4A1"	chr17	-	42340003	42340302	42340003	42340094	42345421	42345509
chr17|-|7130973|7131102|7130973|7131030|7131295|7131363	"ENSG00000004975.11_2"	"DVL2"	chr17	-	7130973	7131102	7130973	7131030	7131295	7131363
chr17|-|7131295|7131363|7131295|7131361|7132287|7132364	"ENSG00000004975.11_2"	"DVL2"	chr17	-	7131295	7131363	7131295	7131361	7132287	7132364
chr17|-|7132696|7132794|7132696|7132766|7132906|7132997	"ENSG00000004975.11_2"	"DVL2"	chr17	-	7132696	7132794	7132696	7132766	7132906	7132997
chr17|-|7132696|7132794|7132696|7132766|7133126|7133262	"ENSG00000004975.11_2"	"DVL2"	chr17	-	7132696	7132794	7132696	7132766	7133126	7133262
chr17|-|7132696|7132794|7132696|7132766|7133364|7133474	"ENSG00000004975.11_2"	"DVL2"	chr17	-	7132696	7132794	7132696	7132766	7133364	7133474
chr17|-|7133364|7133474|7133364|7133456|7133603|7133749	"ENSG00000004975.11_2"	"DVL2"	chr17	-	7133364	7133474	7133364	7133456	7133603	7133749
chr19|+|18976097|18976587|18976369|18976587|18974978|18975060	"ENSG00000005007.12_2"	"UPF1"	chr19	+	18976097	18976587	18976369	18976587	18974978	18975060
chr7|-|11464322|11464462|11464322|11464456|11468573|11468752	"ENSG00000005108.15_3"	"THSD7A"	chr7	-	11464322	11464462	11464322	11464456	11468573	11468752
chr17|+|33310020|33310571|33310250|33310571|33307530|33307616	"ENSG00000005156.11_3"	"LIG3"	chr17	+	33310020	33310571	33310250	33310571	33307530	33307616
chr17|+|33310020|33310571|33310250|33310571|33307658|33308177	"ENSG00000005156.11_3"	"LIG3"	chr17	+	33310020	33310571	33310250	33310571	33307658	33308177
chr17|+|33310020|33310571|33310250|33310571|33308499|33308576	"ENSG00000005156.11_3"	"LIG3"	chr17	+	33310020	33310571	33310250	33310571	33308499	33308576
chr17|+|33312960|33313150|33313006|33313150|33307530|33307616	"ENSG00000005156.11_3"	"LIG3"	chr17	+	33312960	33313150	33313006	33313150	33307530	33307616
chr17|+|33312960|33313150|33313006|33313150|33308499|33308576	"ENSG00000005156.11_3"	"LIG3"	chr17	+	33312960	33313150	33313006	33313150	33308499	33308576
chr12|-|48091379|48091502|48091379|48091484|48095246|48095387	"ENSG00000005175.9_3"	"RPAP3"	chr12	-	48091379	48091502	48091379	48091484	48095246	48095387
chr16|+|20826248|20826375|20826306|20826375|20817750|20817812	"ENSG00000005189.19_2"	"AC004381.6"	chr16	+	20826248	20826375	20826306	20826375	20817750	20817812
chr16|+|20826248|20826375|20826306|20826375|20818273|20818413	"ENSG00000005189.19_2"	"AC004381.6"	chr16	+	20826248	20826375	20826306	20826375	20818273	20818413
chr16|+|20826248|20826375|20826306|20826375|20824511|20824624	"ENSG00000005189.19_2"	"AC004381.6"	chr16	+	20826248	20826375	20826306	20826375	20824511	20824624
chr16|-|57473093|57473246|57473093|57473207|57474683|57474895	"ENSG00000005194.14_3"	"CIAPIN1"	chr16	-	57473093	57473246	57473093	57473207	57474683	57474895
chr16|-|57474683|57474922|57474683|57474871|57481253|57481289	"ENSG00000005194.14_3"	"CIAPIN1"	chr16	-	57474683	57474922	57474683	57474871	57481253	57481289
chr19|+|2334600|2334720|2334627|2334720|2328694|2328774	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2334600	2334720	2334627	2334720	2328694	2328774
chr19|+|2338750|2338840|2338812|2338840|2330295|2330349	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2338750	2338840	2338812	2338840	2330295	2330349
chr19|+|2338750|2338840|2338812|2338840|2330295|2330418	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2338750	2338840	2338812	2338840	2330295	2330418
chr19|+|2338750|2338840|2338812|2338840|2334600|2334720	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2338750	2338840	2338812	2338840	2334600	2334720
chr19|+|2338750|2338840|2338812|2338840|2337441|2337624	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2338750	2338840	2338812	2338840	2337441	2337624
chr19|+|2339063|2339207|2339067|2339207|2334600|2334720	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2339063	2339207	2339067	2339207	2334600	2334720
chr19|+|2339063|2339207|2339067|2339207|2337441|2337624	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2339063	2339207	2339067	2339207	2337441	2337624
chr19|+|2339822|2339965|2339825|2339965|2337441|2337624	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2339822	2339965	2339825	2339965	2337441	2337624
chr19|+|2339822|2339965|2339825|2339965|2339067|2339207	"ENSG00000005206.16_1"	"SPPL2B"	chr19	+	2339822	2339965	2339825	2339965	2339067	2339207
chr9|-|35107377|35108346|35107377|35107565|35108590|35108734	"ENSG00000005238.19_2"	"FAM214B"	chr9	-	35107377	35108346	35107377	35107565	35108590	35108734
chr9|-|35107377|35108346|35107377|35107565|35111265|35111585	"ENSG00000005238.19_2"	"FAM214B"	chr9	-	35107377	35108346	35107377	35107565	35111265	35111585
chrX|+|11783585|11783848|11783640|11783848|11781898|11782057	"ENSG00000005302.17_3"	"MSL3"	chrX	+	11783585	11783848	11783640	11783848	11781898	11782057
chr16|-|3801726|3801837|3801726|3801807|3807288|3807377	"ENSG00000005339.14_3"	"CREBBP"	chr16	-	3801726	3801837	3801726	3801807	3807288	3807377
chr17|-|56383702|56383774|56383702|56383747|56384160|56384329	"ENSG00000005379.15_3"	"TSPOAP1"	chr17	-	56383702	56383774	56383702	56383747	56384160	56384329
chr17|-|56383702|56383774|56383702|56383747|56384971|56385123	"ENSG00000005379.15_3"	"TSPOAP1"	chr17	-	56383702	56383774	56383702	56383747	56384971	56385123
chr7|-|94944633|94944802|94944633|94944761|94946045|94946101	"ENSG00000005421.8_2"	"PON1"	chr7	-	94944633	94944802	94944633	94944761	94946045	94946101
chr2|+|74650317|74650512|74650445|74650512|74649301|74649502	"ENSG00000005448.16_2"	"WDR54"	chr2	+	74650317	74650512	74650445	74650512	74649301	74649502
chr2|+|74650317|74650512|74650445|74650512|74649996|74650059	"ENSG00000005448.16_2"	"WDR54"	chr2	+	74650317	74650512	74650445	74650512	74649996	74650059
